Heartbeat sent
         3155 function calls in 0.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.022    0.022 drone_test_signature.py:31(send_spefic)
      100    0.000    0.000    0.022    0.000 ardupilotmega.py:22725(specific_usage_send)
      100    0.000    0.000    0.021    0.000 ardupilotmega.py:20326(send)
      100    0.000    0.000    0.020    0.000 ardupilotmega.py:9514(pack)
      100    0.002    0.000    0.020    0.000 ardupilotmega.py:248(_pack)
      200    0.017    0.000    0.017    0.000 ardupilotmega.py:61(accumulate)
      100    0.000    0.000    0.017    0.000 ardupilotmega.py:56(__init__)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:22716(specific_usage_encode)
      100    0.000    0.000    0.001    0.000 mavutil.py:1294(write)
      100    0.000    0.000    0.001    0.000 ardupilotmega.py:9506(__init__)
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:237(sign_packet)
      100    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:131(__init__)
      100    0.000    0.000    0.000    0.000 ardupilotmega.py:86(pack)
      200    0.000    0.000    0.000    0.000 ardupilotmega.py:77(__init__)
      100    0.000    0.000    0.000    0.000 hashlib.py:152(__hash_new)
        1    0.000    0.000    0.000    0.000 __init__.py:2140(info)
        1    0.000    0.000    0.000    0.000 __init__.py:1953(basicConfig)
      400    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      100    0.000    0.000    0.000    0.000 {built-in method _hashlib.new}
      100    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
      200    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1076(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:882(__init__)
      302    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 __init__.py:1479(info)
      100    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:576(__init__)
      100    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
      100    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
        4    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:435(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:863(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:912(createLock)
        1    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1646(addHandler)
